name,category,spanish,participation,country,region,season,summary,ages,price,nationality,validity,website,facebook,source,host,references
Pai,organic,False,family,Thailand,Mae Hong Son,Nov–early Feb,"Cool-season mountain town in N. Thailand where worldschooling families—heavily Israeli—cluster Nov–Feb, emptying out when burning-season haze arrives.",,,Israeli (visible) / UK by headcount,High,https://www.facebook.com/groups/worldschoolersinthailand/,,web research (gathering-places + Spanish cut + traveling),,Bliss Investor — Pai (R19): https://blissinvestor.com/community/world-schoolers-in-pai-thailand/ ; Bangkok Post — Pai nationalities (R105): https://www.bangkokpost.com/thailand/general/2964833/israelis-under-immigration-microscope-in-pai
Hoi An / An Bang,organic,False,family,Vietnam,Hoi An,Jan–May,"Charming, walkable, affordable central-Vietnam base with a 30+ family worldschool community; comfortable Jan–May, avoid Oct–Nov floods.",,,Anglophone intl + Israeli,High,https://www.facebook.com/groups/1137478175223942,,web research (gathering-places + Spanish cut + traveling),,World Travel Ambitions — Hoi An (R15): https://worldtravelambitions.com/blog/worldschooling-hoi-an-vietnam-5-year-journey-accident-to-intention/ ; Thinking Nomads — Hoi An (R109): https://thinkingnomads.com/living-in-vietnam-with-children-hoi-an/
Worldschoolers of Hoi An,organic,False,family,Vietnam,Hoi An,All year ongoing; minimum 1-month stay,Daily excursions; community-run schedule of events for families and teens,"{""note"": ""All ages""}",Free,,from PDF,https://www.facebook.com/groups/1137478175223942,https://m.facebook.com/groups/1137478175223942,PDF (June-2026 listing),Liessl,Facebook / Instagram: https://m.facebook.com/groups/1137478175223942 ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/:  ; World Travel Ambitions — Hoi An (R15): https://worldtravelambitions.com/blog/worldschooling-hoi-an-vietnam-5-year-journey-accident-to-intention/ ; Thinking Nomads — Hoi An (R109): https://thinkingnomads.com/living-in-vietnam-with-children-hoi-an/
Culture Chalk,permanent_commercial,False,dropoff,,,,extracted from worldschooly.com listing,,,,inbox-approved,https://www.culturechalk.org,,inbox (aggregator-diff:worldschooly.com) + web research,,Website: https://www.culturechalk.org ; Worldschooly directory: https://worldschooly.com/hubs/
Eco Holistic Kids Club,permanent_commercial,False,dropoff,,,,extracted from worldschooly.com listing (listing dated 2025-10-17),,,,inbox-approved,https://www.facebook.com/escueladelaluz/,,inbox (aggregator-diff:worldschooly.com) + web research,,Worldschooly directory: https://worldschooly.com/hubs/
Harmony Learning Center,permanent_commercial,False,dropoff,Costa Rica,Guanacaste (Junquillal),year-round (summer camps),extracted from worldschooly.com listing (listing dated 2026-05-19),3–17,,,inbox-approved,https://harmonyeducation.net/,,inbox (aggregator-diff:worldschooly.com) + web research,,Website: https://harmonyeducation.net/ ; Worldschooly directory: https://worldschooly.com/hubs/
Milestones School,permanent_commercial,False,dropoff,,,,extracted from worldschooly.com listing,,,,inbox-approved,https://www.facebook.com/milestoneseducationcr,,inbox (aggregator-diff:worldschooly.com) + web research,,Worldschooly directory: https://worldschooly.com/hubs/
TFA Worldschooling Hub,permanent_commercial,False,dropoff,,,,extracted from worldschooly.com listing,,,,inbox-approved,https://www.worldschoolinghub.my/,,inbox (aggregator-diff:worldschooly.com) + web research,,Website: https://www.worldschoolinghub.my/ ; Worldschooly directory: https://worldschooly.com/hubs/
Wild Adventure School - Africa Hub,permanent_commercial,False,dropoff,,,,extracted from theworldschoolatlas.com listing (listing dated 2025-07-01),,,,inbox-approved,,,inbox (aggregator-diff:theworldschoolatlas.com),,
Forest Kindy - Brisbane,permanent_commercial,False,dropoff,Australia,,,extracted from worldschooly.com listing,,,,inbox-approved,https://www.wildlingsforestschool.com/forest-kindy,,inbox (aggregator-diff:worldschooly.com) + web research,,Website: https://www.wildlingsforestschool.com/forest-kindy ; Worldschooly directory: https://worldschooly.com/hubs/
Shanti Shanti Kampot Worldschooling Hub Meetup,permanent_commercial,False,dropoff,Cambodia,Kampot,November–April,extracted from worldschooly.com listing (listing dated 2026-01-28),0–17,$50–$200/week,,inbox-approved,https://shantivillage.com/worldschooling/,,inbox (aggregator-diff:worldschooly.com),,Website: https://shantivillage.com/worldschooling/ ; Worldschooly directory: https://worldschooly.com/hubs/
Siem Reap Bliss Hub - Cambodia,permanent_commercial,False,dropoff,Cambodia,Siem Reap,,extracted from worldschooly.com listing (listing dated 2025-10-21),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
"The Red Road Foundation (Kampot, Cambodia)",permanent_commercial,False,,Cambodia,"Kampot, Cambodia",All year round,rendered from famunity.net,,,,inbox-approved,https://theredroadfoundation.org/sustainable-development-volunteer-program-in-cambodia/leadership-in-sustainable-development-internship/,,inbox (browser:famunity.net),,Website: https://theredroadfoundation.org/sustainable-development-volunteer-program-in-cambodia/leadership-in-sustainable-development-internship/
Colegio Menfis Worldschool in Colombia,permanent_commercial,False,dropoff,Colombia,,,extracted from worldschooly.com listing (listing dated 2025-01-21),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
HOLSS School (NAM),permanent_commercial,False,dropoff,Colombia,Palomino,Term / cohort,"Bilingual holistic coastal school, small classes, plant-based meals.",2-14,Varies,,web candidate (Medium),holss.org,,web research (RemoteFamily),NAM,Website: https://holss.org ; RemoteFamily directory: https://remotefamily.com/
Soy Montesser,permanent_commercial,True,dropoff,Colombia,"Medellin, Antioquia",30-day terms,"Full-term Montessori school, Medellin.",School-age,~$360/mo,,web candidate (Medium),https://www.soymontesser.com/,,web research (Worldschooly),,Website: https://www.soymontesser.com/ ; Worldschooly directory: https://worldschooly.com/hubs/
Soy Montesser – Montessori Worldschool Hub Medellín,permanent_commercial,True,dropoff,Colombia,,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
"Cacao Coast (Puerto Viejo, Costa Rica)",permanent_commercial,False,,Costa Rica,"Puerto Viejo, Costa Rica","Nov 01, 2026 – Dec 15, 2026 (Autumn/End-of-Year Session)",rendered from famunity.net,,,Mixed intl,inbox-approved,https://cacaocoastcr.com/,,inbox (browser:famunity.net),,Website: https://cacaocoastcr.com/
Cacao Coast CR | Worldschooling Hub in Puerto Viejo,permanent_commercial,False,dropoff,Costa Rica,,,extracted from worldschooly.com listing (listing dated 2025-10-08),,,Mixed intl,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Guanacaste Children&#039;s Community Center,permanent_commercial,False,dropoff,Costa Rica,,,extracted from worldschooly.com listing (listing dated 2025-01-22),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Guanacaste Children&#039;s Community Center (GCCC),permanent_commercial,False,dropoff,Costa Rica,GCCC,,extracted from theworldschoolatlas.com listing (listing dated 2025-04-01),,,,inbox-approved,,,inbox (aggregator-diff:theworldschoolatlas.com),,
Guanacaste Children's Community Center,permanent_commercial,True,dropoff,Costa Rica,Huacas,Year round except for the last 2 weeks in August,"Montessori-inspired academics, bilingual instruction, nature-based hands-on learning, life skills, community volunteering and events","{""note"": ""18 months \u2013 14 years""}",$250 weekly / $600 monthly (1 week minimum),,from PDF,https://www.gccckids.com,,PDF (June-2026 listing),Katherine & Roxana,Website: https://www.gccckids.com ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
WISE Education,permanent_commercial,False,dropoff,Costa Rica,Guanacaste,Short-term,"Full-term school, Guanacaste.",Mixed,~$150,,web candidate (Medium),https://thefutureiswise.com,,web research (Worldschooly),WISE,Website: https://thefutureiswise.com ; Worldschooly directory: https://worldschooly.com/hubs/
WISE Education | Costa Rica Worldschool Hub,permanent_commercial,False,dropoff,Costa Rica,,,extracted from worldschooly.com listing (listing dated 2025-07-24),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
The Field School of Hvar | Worldschooling Hub in Croatia,permanent_commercial,False,dropoff,Croatia,Hvar,,extracted from worldschooly.com listing (listing dated 2025-12-01),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
ÎleO Worldschool,permanent_commercial,False,dropoff,Curaçao,Curaçao,1-3 month cohorts,"Permanent school, 5 learning pillars, co-working for parents.",1.5-13,Varies,,web candidate (Medium),ileo.life,,web research (RemoteFamily),ÎleO,Website: https://ileo.life ; RemoteFamily directory: https://remotefamily.com/
Bornholm Worldschool Hub | Family-Centered Learning in Denmark,permanent_commercial,False,family,Denmark,Bornholm,,extracted from worldschooly.com listing (listing dated 2025-06-20),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Samana International Academy,permanent_commercial,False,dropoff,Dominican Republic,Samana,30-day terms,Full-term international school accepting worldschoolers.,School-age,"~$2,375/mo",,web candidate (Medium),https://www.samanainternationalacademy.com/,,web research (Worldschooly),,Website: https://www.samanainternationalacademy.com/ ; Worldschooly directory: https://worldschooly.com/hubs/
Samana International Academy - Dominican Republic,permanent_commercial,False,dropoff,Dominican Republic,,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Punta la Barca,permanent_commercial,True,family,Ecuador,Pacific coast,Coliving,Montessori-inspired coliving with reliable WiFi.,All,Varies,,web candidate (Medium),puntalabarca.com,,web research (WorldlyTribe),Punta la Barca,Website: https://puntalabarca.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Punta la Barca | Coliving and Worldschooling Hub in Ecuador,permanent_commercial,False,family,Ecuador,Punta la Barca,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
"Worldschooling Hub in Luxor, Egypt | Egyptian Adventures",permanent_commercial,False,dropoff,Egypt,Luxor,Oct–Apr,extracted from worldschooly.com listing (listing dated 2025-02-14),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Boundless Syros,permanent_commercial,False,,Greece,Syros (Ermoupoli),Year-round; join 1-12 months,Boundless Life location in Syros (Ermoupoli). Biggest paid network.,1-14,"€5,830-9,130/month",,web candidate (High),boundless.life,,web research (WorldlyTribe; WorldschoolHubs blog; Worldschool Atlas) + web research,Boundless Life,Website: https://boundless.life ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/ ; Boundless Life — destinations: https://www.boundless.life/topic/destinations ; Heath&Alyssa — Boundless ranked: https://heathandalyssa.com/we-tried-6-boundless-life-locations-heres-how-they-rank/
Antigua Green School,permanent_commercial,False,dropoff,Guatemala,Antigua,,extracted from worldschooly.com listing,,,Anglo-Western,inbox-approved,https://www.facebook.com/AntiguaGreenSchool/,,inbox (aggregator-diff:worldschooly.com) + web research,,Worldschooly directory: https://worldschooly.com/hubs/ ; Antigüeña Spanish Academy (R110): https://www.spanishacademyantiguena.com/ ; No Back Home — Guatemala schools (R110): https://nobackhome.com/spanish-schools-in-guatemala/
Worldschooling Hub Goa,permanent_commercial,False,dropoff,India,Goa,Nov–Apr,extracted from worldschooly.com listing (listing dated 2025-02-07),,,Israeli (+ Russian),High,,,inbox (aggregator-diff:worldschooly.com) + web research,,Worldschooly directory: https://worldschooly.com/hubs/ ; Education Next — Goa (R13): https://www.educationnext.in/posts/goa-a-paradise-for-worldschooling-families-with-a-global-flair ; Tablet — Lost in Goa (R104): https://www.tabletmag.com/sections/news/articles/lost-in-goa
Bali Bliss Hub,permanent_commercial,False,dropoff,Indonesia,Bali,,extracted from worldschooly.com listing (listing dated 2025-10-21),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Boundless Sanur,permanent_commercial,False,,Indonesia,"Sanur, Bali",Year-round; join 1-12 months,"Boundless Life location in Sanur, Bali. Biggest paid network.",1-14,"€5,830-9,130/month",,web candidate (High),boundless.life,,web research (WorldlyTribe; WorldschoolHubs blog; Worldschool Atlas) + web research,Boundless Life,Website: https://boundless.life ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/ ; Boundless Life — destinations: https://www.boundless.life/topic/destinations ; Heath&Alyssa — Boundless ranked: https://heathandalyssa.com/we-tried-6-boundless-life-locations-heres-how-they-rank/
Future Human Project,permanent_commercial,False,dropoff,Indonesia,"Ubud, Bali",56-day,"A drop-off commercial worldschool hub in Ubud, Bali.",Children,"~$2,200",,DUP→Future Human School Bali,https://futurehumanproject.co/,,web research (Worldschooly),,Website: https://futurehumanproject.co/ ; Worldschooly directory: https://worldschooly.com/hubs/
Future Human Project | Bali Worldschooling for Teens,permanent_commercial,False,dropoff,Indonesia,Bali,,extracted from worldschooly.com listing (listing dated 2025-12-19),,,,DUP→Future Human School Bali,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Future Human School Bali,permanent_commercial,False,dropoff,Indonesia,Ubud,All year; 8–10 weeks dependent on national holidays,A drop-off commercial worldschool hub in Ubud.,"{""note"": ""9\u201310, 11\u201316""}","$2,200 – $3,000",,DUP→Future Human School Bali,https://www.futurehumanschoolbali.com/,,PDF (June-2026 listing),Richard Flanagan,Website: https://www.futurehumanschoolbali.com/ ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Wonder Intercultural School,inactive,False,family,Indonesia,Lombok,Term enrollment,Bilingual nature-based intercultural school for travelling families.,All,Varies,,web candidate (Medium),https://wonderschool.cc/,,web research (WorldlyTribe),Wonder School,Website: https://wonderschool.cc/ ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Wood School Bali,permanent_commercial,False,dropoff,Indonesia,,,extracted from worldschooly.com listing,,,,inbox-approved,https://woodschoolbali.com/,,inbox (aggregator-diff:worldschooly.com) + web research,,Website: https://woodschoolbali.com/ ; Worldschooly directory: https://worldschooly.com/hubs/
Boundless Tuscany,permanent_commercial,False,,Italy,"Pelago, Tuscany",Year-round; join 1-12 months,"Boundless Life location in Pelago, Tuscany. Biggest paid network.",1-14,"€5,830-9,130/month",,web candidate (High),boundless.life,,web research (WorldlyTribe; WorldschoolHubs blog; Worldschool Atlas) + web research,Boundless Life,Website: https://boundless.life ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/ ; Boundless Life — destinations: https://www.boundless.life/topic/destinations ; Heath&Alyssa — Boundless ranked: https://heathandalyssa.com/we-tried-6-boundless-life-locations-heres-how-they-rank/
"Naturally Richer (East Coast Sardinia, Italy)",permanent_commercial,False,,Italy,"East Coast Sardinia, Italy","Sep 5, 2026 – Sep 26, 2026",rendered from famunity.net,,,,inbox-approved,https://www.naturallyricher.com/hub-sardinia,,inbox (browser:famunity.net),,Website: https://www.naturallyricher.com/hub-sardinia
"The Good Life Mountain Club (Valle Laghi, Italy)",permanent_commercial,False,,Italy,"Valle Laghi, Italy","May 15, 2026 – Jul 31, 2026",rendered from famunity.net,,,,inbox-approved,https://www.thegoodlifemountainclub.com/basecamp,,inbox (browser:famunity.net),,Website: https://www.thegoodlifemountainclub.com/basecamp
Boundless Kamakura,permanent_commercial,False,,Japan,Kamakura,Year-round; join 1-12 months,Boundless Life location in Kamakura. Biggest paid network.,1-14,"€5,830-9,130/month",,web candidate (High),boundless.life,,web research (WorldlyTribe; WorldschoolHubs blog; Worldschool Atlas) + web research,Boundless Life,Website: https://boundless.life ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/ ; Boundless Life — destinations: https://www.boundless.life/topic/destinations ; Heath&Alyssa — Boundless ranked: https://heathandalyssa.com/we-tried-6-boundless-life-locations-heres-how-they-rank/
"Hakuba, Japan the perfect place for homeschool families to join an international school for a term or a year",permanent_commercial,False,family,Japan,,,extracted from theworldschoolatlas.com listing (listing dated 2025-05-06),,,,inbox-approved,,,inbox (aggregator-diff:theworldschoolatlas.com),,
Sekoly Kintana Madagascar,permanent_commercial,False,dropoff,Madagascar,,,extracted from worldschooly.com listing,,,,inbox-approved,https://sekolykintana.org/,,inbox (aggregator-diff:worldschooly.com) + web research,,Website: https://sekolykintana.org/ ; Worldschooly directory: https://worldschooly.com/hubs/
Maldives Worldschool Hub,permanent_commercial,False,dropoff,Maldives,Maldives,,extracted from worldschooly.com listing,,,,inbox-approved,https://www.facebook.com/groups/186758410890213/,,inbox (aggregator-diff:worldschooly.com) + web research,,Worldschooly directory: https://worldschooly.com/hubs/
Anahata Worldschooling Community,permanent_commercial,True,family,Mexico,"Ek Balam, Yucatan",Coliving sessions,Co-living hub focused on cultural immersion.,All,Varies,,web candidate (Medium),anahataworldschoolingcommunity.com,,web research (WorldlyTribe),Anahata,Website: https://anahataworldschoolingcommunity.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Anahata Worldschooling Community | Cultural Immersion in Mexico,permanent_commercial,True,dropoff,Mexico,Oaxaca,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
ArcticTerns - Playa del Carmen,permanent_commercial,False,dropoff,Mexico,,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com) + web research,,Worldschooly directory: https://worldschooly.com/hubs/
Worldschool Mexico,permanent_commercial,False,dropoff,Mexico,San Miguel de Allende / Oaxaca / Tulum,Month-long & semester programs,"Nature-based, culturally immersive, flexible enrollment.",All,Varies,,web candidate (High),worldschoolmexico.com,,web research (WorldlyTribe; RemoteFamily),Worldschool Mexico,Website: https://worldschoolmexico.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; RemoteFamily directory: https://remotefamily.com/
Worldschooling Life,permanent_commercial,False,family,Mexico,,Ongoing (4 seasons),A whole-family commercial worldschool hub in Mexico.,"{""min"": 6, ""max"": 18}",Varies depending on duration,,from PDF,https://worldschooling.life/,,PDF (June-2026 listing),Zulema Fernandez,Website: https://worldschooling.life/ ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Boundless Kotor,permanent_commercial,False,,Montenegro,Kotor,Year-round; join 1-12 months,Boundless Life location in Kotor. Biggest paid network.,1-14,"€5,830-9,130/month",,web candidate (High),boundless.life,,web research (WorldlyTribe; WorldschoolHubs blog; Worldschool Atlas) + web research,Boundless Life,Website: https://boundless.life ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/ ; Boundless Life — destinations: https://www.boundless.life/topic/destinations ; Heath&Alyssa — Boundless ranked: https://heathandalyssa.com/we-tried-6-boundless-life-locations-heres-how-they-rank/
Madrasa Dunya WorldSchool | Holistic Education Hub in Morocco,permanent_commercial,False,dropoff,Morocco,Marrakech,,extracted from worldschooly.com listing,,,Mixed European,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Madrasa Dunya Worldschool Morocco,permanent_commercial,False,family,Morocco,"Ourika river, High Atlas mountains",Open full time all year besides seasonal holidays; open since 01-01-2023,"Sociocratic/democratic, forest/nature, Waldorf own curriculum guided by natural daily rhythm; neurodivergent friendly","{""note"": ""All ages + special teen hub""}","From ~2000 MAD per week per child (long term ~2600 MAD/week all inclusive); meals, field trips and facilities included",Mixed European,from PDF,https://www.md-worldschoolmorocco.com,https://www.facebook.com/groups/956900099,PDF (June-2026 listing),Jenna Maria Pedersen,Website: https://www.md-worldschoolmorocco.com ; Facebook / Instagram: https://www.facebook.com/groups/956900099 ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Tazgha Resort (Essaouira),permanent_commercial,False,family,Morocco,Essaouira,June – December,A whole-family commercial worldschool hub in Essaouira.,"{""min"": 4, ""max"": 18}","£1,200 per month per family",,from PDF,https://www.tazgha.com,,PDF (June-2026 listing),Mai Karfawi,Website: https://www.tazgha.com ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Tika Ranch – A World Schooling Hub in Sidi Kaouki,permanent_commercial,False,dropoff,Morocco,,,extracted from theworldschoolatlas.com listing (listing dated 2025-04-01),,,,inbox-approved,,,inbox (aggregator-diff:theworldschoolatlas.com),,
Earth School Aotearoa,permanent_commercial,False,dropoff,New Zealand,,,extracted from worldschooly.com listing (listing dated 2026-01-25),,,,inbox-approved,https://www.earthschool.nz/worldschooling/,,inbox (aggregator-diff:worldschooly.com) + web research,,Website: https://www.earthschool.nz/worldschooling/ ; Worldschooly directory: https://worldschooly.com/hubs/
Algarve Worldschooling Hub | Nov 2025–May 2026,permanent_commercial,False,dropoff,Portugal,,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
