name,type,country,region_city,season_dates,ages,price,website,facebook_instagram,host,source_directory,confidence,dedup_status,notes
Worldschool Pop-Up Naples | April 2026,,Italy,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2026-05-03)
Freedom Montessori Academy | Homeschool in Florida,,United States,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2026-05-29)
Soy Montesser – Montessori Worldschool Hub Medellín,,Colombia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Worldschooling Hub in Hoi An – Harmony Alternative,,Vietnam,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2026-06-05)
Homeschooling Hub in Madeira | Campus da Terra,,Portugal,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Samana International Academy - Dominican Republic,,Dominican Republic,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
WISE Education | Costa Rica Worldschool Hub,,Costa Rica,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-07-24)
Harmony Learning Center,,,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2026-05-19)
"Naturemind Ed | Worldschooling Hub in Krabi, Thailand",,Thailand,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
We Are Tribe: Worldschool Coliving in Bali,,Indonesia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
KiRIWi Forest School,,,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-02-17)
Eco Holistic Kids Club,,,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-10-17)
Pelangi Creative Camps in Bali for Kids Aged 3-12,,Indonesia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Maldives Worldschool Hub,,Maldives,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
TFA Worldschooling Hub,,,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Culture Chalk,,,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Madrasa Dunya WorldSchool | Holistic Education Hub in Morocco,,Morocco,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Punta la Barca | Coliving and Worldschooling Hub in Ecuador,,Ecuador,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Green Coco Sailing Adventures | Family-Friendly Sailing,,,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
ArcticTerns - Playa del Carmen,,Mexico,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Twin Eagles Wilderness Camps for Kids &amp; Teens,,,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Anahata Worldschooling Community | Cultural Immersion in Mexico,,Mexico,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Forest Kindy - Brisbane,,Australia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Wood School Bali,,Indonesia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
The Hive,,,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-04-12)
Milestones School,,,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Sekoly Kintana Madagascar,,Madagascar,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Silvermist Academy - Hands-On Learning Hub in Cape Town,,South Africa,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Antigua Green School,,Guatemala,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
The Creative World,,Costa Rica,,,,,,,,aggregator-diff:theworldschoolatlas.com,inbox,NEW,extracted from theworldschoolatlas.com listing (listing dated 2025-05-06)
"Hakuba, Japan the perfect place for homeschool families to join an international school for a term or a year",,Japan,,,,,,,,aggregator-diff:theworldschoolatlas.com,inbox,NEW,extracted from theworldschoolatlas.com listing (listing dated 2025-05-06)
EGYPTIAN ADVENTURES,,Egypt,,,,,,,,aggregator-diff:theworldschoolatlas.com,inbox,NEW,extracted from theworldschoolatlas.com listing (listing dated 2025-04-01)
Tika Ranch – A World Schooling Hub in Sidi Kaouki,,Morocco,,,,,,,,aggregator-diff:theworldschoolatlas.com,inbox,NEW,extracted from theworldschoolatlas.com listing (listing dated 2025-04-01)
Guanacaste Children&#039;s Community Center (GCCC),,Costa Rica,GCCC,,,,,,,aggregator-diff:theworldschoolatlas.com,inbox,NEW,extracted from theworldschoolatlas.com listing (listing dated 2025-04-01)
Wild Adventure School - Africa Hub,,,,,,,,,,aggregator-diff:theworldschoolatlas.com,inbox,NEW,extracted from theworldschoolatlas.com listing (listing dated 2025-07-01)
Traveling Village,,,,,,,,,,aggregator-diff:theworldschoolatlas.com,inbox,NEW,extracted from theworldschoolatlas.com listing (listing dated 2025-04-01)
"The Red Road Foundation (Kampot, Cambodia)",,Cambodia,"Kampot, Cambodia",All year round,,,https://theredroadfoundation.org/sustainable-development-volunteer-program-in-cambodia/leadership-in-sustainable-development-internship/,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
"The Good Life Mountain Club (Valle Laghi, Italy)",,Italy,"Valle Laghi, Italy","May 15, 2026 – Jul 31, 2026",,,https://www.thegoodlifemountainclub.com/basecamp,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
"Worldschool Pop-Up Hub (San Francisco, USA)",,United States,"San Francisco, USA","Jun 15, 2026 – Jun 21, 2026",,,https://www.worldschoolpopuphub.com/upcoming-events,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
"Worldschool Pop-Up Hub (Sibiu, Romania)",,Romania,"Sibiu, Romania","Jun 17, 2026 – Jun 23, 2026",,,https://www.worldschoolpopuphub.com/upcoming-events,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
"Worldschool Pop-Up Hub (Mendocino, USA)",,United States,"Mendocino, USA","Jun 24, 2026 – Jun 30, 2026",,,https://www.worldschoolpopuphub.com/upcoming-events,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
"Worldschool Pop-Up Hub (Warsaw, Poland)",,Poland,"Warsaw, Poland","Jun 28, 2026 – Jul 04, 2026",,,https://www.worldschoolpopuphub.com/upcoming-events,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
"Worldschool Pop-Up Hub (Vienna, Austria)",,Austria,"Vienna, Austria","Jul 20, 2026 – Jul 26, 2026",,,https://www.worldschoolpopuphub.com/upcoming-events,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
Naturally Richer (High Tatras and central Slovakia),,Slovakia,High Tatras and central Slovakia,"Jul 24, 2026 – Aug 15, 2026",,,https://www.naturallyricher.com/hubslovakia,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
Worldschooling Journeys (Southeast Asia Cruise (Hong Kong to Singapore)),,Singapore,Southeast Asia Cruise (Hong Kong to Singapore),"Aug 29, 2026 – Sep 12, 2026",,,https://worldschoolingjourneys.com/,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
"Naturally Richer (East Coast Sardinia, Italy)",,Italy,"East Coast Sardinia, Italy","Sep 5, 2026 – Sep 26, 2026",,,https://www.naturallyricher.com/hub-sardinia,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
Worldschooling Journeys (Mediterranean Cruise (Italy & France)),,France,Mediterranean Cruise (Italy & France),"Oct 24, 2026 – Oct 31, 2026",,,https://worldschoolingjourneys.com/,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
"Cacao Coast (Puerto Viejo, Costa Rica)",,Costa Rica,"Puerto Viejo, Costa Rica","Nov 01, 2026 – Dec 15, 2026 (Autumn/End-of-Year Session)",,,https://cacaocoastcr.com/,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
"Blattwerk Naturpädagogik (Valle Gran Rey (La Gomera), Spain)",,Spain,"Valle Gran Rey (La Gomera), Spain","Nov 28, 2026 – Dec 13, 2026",,,https://blattwerk-natur.de/worldschooling-hub-2025/,,,browser:famunity.net,inbox,NEW,rendered from famunity.net
Agora Andorra International School Summer Camp,summer_camp,Andorra,"Andorra la Vella, Andorra",,,,https://wanderworks.life/camp/d78bd40a-3113-439b-b6ff-3fdd5b5c92fe,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Skiten Summer Camp,summer_camp,Belgium,"La Bruyère, Belgium",,,,https://wanderworks.life/camp/b0b5ad85-2532-44ff-a47b-6b8a4603cec5,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Whale Camp,summer_camp,,"Grand Manan, Canada",,,,https://wanderworks.life/camp/501edd46-f255-4ac7-9491-9cdb84e55a0d,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Exploranatura Summer Camp,summer_camp,Costa Rica,"Tamarindo, Costa Rica",,,,https://wanderworks.life/camp/43ed2f03-11f5-41a0-bb7f-8549386823db,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Cloud Forest School Summer Camp,summer_camp,Costa Rica,"Monteverde, Costa Rica",,,,https://wanderworks.life/camp/d8d9a013-4b4f-41d5-bdfd-74db65691a53,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Prague British International School Summer Camp,summer_camp,Czech Republic,"Praha, Czech Republic",,,,https://wanderworks.life/camp/4917a6e1-5605-490e-af33-83500e81e5a1,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
CopenCamp Summer Camp,summer_camp,Denmark,"Hellerup, Denmark",,,,https://wanderworks.life/camp/0326ed3f-997f-49cf-87f2-79b6d2ae733e,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Alpine French School Day Camp,summer_camp,France,"Morzine, France",,,,https://wanderworks.life/camp/5319bf26-1872-436d-8708-47d753080f98,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
International Language Camps,summer_camp,France,"Megève, France",,,,https://wanderworks.life/camp/8a91c42d-e4dd-4478-a35a-198631390752,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Living School,summer_camp,France,"Paris, France",,,,https://wanderworks.life/camp/77c53b02-b302-4d3a-b850-73a31fd0651b,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
International Bilingual School of Provence Summer Camp,summer_camp,France,"Aix-en-Provence, France",,,,https://wanderworks.life/camp/d0287652-d7fb-4c21-96ef-5c5d6394f174,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
ICS Paris International School Summer Camp,summer_camp,France,"Paris, France",,,,https://wanderworks.life/camp/becb5918-fc70-4c6a-a72e-1102e980f052,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Ecole Ducasse Paris Cooking Camp,summer_camp,France,"Paris, France",,,,https://wanderworks.life/camp/ea4085f8-8fb0-47f0-9151-3ca72e1c61a0,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Abrakadabra Spielsprachschule Summer Day Camp,summer_camp,Germany,"Berlin, Germany",,,,https://wanderworks.life/camp/2a183560-7ef2-4add-99dc-7e7cd09095c6,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Empathy School Summer Camp,summer_camp,Indonesia,"Gianyar, Indonesia",,,,https://wanderworks.life/camp/38d826ae-2e24-447c-964c-c3380164c7d6,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Green Camp Bali,summer_camp,Indonesia,"Badung, Indonesia",,,,https://wanderworks.life/camp/a7d74f6e-b035-421c-81f7-6cede21aabca,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Buena Onda Surf Camp,summer_camp,Italy,"Olbia, Italy",,,,https://wanderworks.life/camp/dc7f3bcf-9532-426f-bffc-6355fdc5d537,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
CAIL English City Tour Summer Camp,summer_camp,Italy,"Bologna, Italy",,,,https://wanderworks.life/camp/def55a6c-8310-4ad8-9285-fdee21c547e5,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
"Fashion, Art & Design Summer Camp",summer_camp,Italy,"Milano, Italy",,,,https://wanderworks.life/camp/e432d4d2-5209-4699-8db2-0097dd56d708,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Village Forest School Summer Camp,summer_camp,Italy,"Cerrina Monferrato, Italy",,,,https://wanderworks.life/camp/20efef43-4761-46b5-9477-976f163bebc4,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Evergreen Outdoor Center Summer Camps,summer_camp,Japan,"Hakuba, Japan",,,,https://wanderworks.life/camp/6aa7bf16-5e21-4419-b1c8-3b58cf1e0da2,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
A-Go Outdoors Aoshima,summer_camp,Japan,"Miyazaki, Japan",,,,https://wanderworks.life/camp/ed94bfd7-51a1-4285-a7b0-bbc6b4c4df91,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Oasis Spanish and Surf School,summer_camp,Mexico,"Puerto Escondido, Mexico",,,,https://wanderworks.life/camp/301b355f-14d0-4953-bbd2-f06703288b79,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
La Paz Divers Marine Biology Summer Camp,summer_camp,Mexico,"La Paz, Mexico",,,,https://wanderworks.life/camp/531d5b92-b29b-46e9-9894-46c68dfb7094,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Knightsbridge Schools International Montenegro Summer Camp,summer_camp,Montenegro,"Tivat, Montenegro",,,,https://wanderworks.life/camp/5e351e35-0255-4053-a975-753aa4b3338c,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Terragon Nature Lab Summer Camp,summer_camp,Netherlands,"Amsterdam, Netherlands",,,,https://wanderworks.life/camp/e6af525d-e027-4667-b31f-85fb125e3607,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Wow Family Center Summer Camp,summer_camp,Netherlands,"Amsterdam, Netherlands",,,,https://wanderworks.life/camp/919f5e81-8b4e-4cff-b9f6-293a9cc29d33,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Esti School Summer Camp,summer_camp,Poland,"Kraków, Poland",,,,https://wanderworks.life/camp/2b181e30-5fa7-4c1a-b28f-eccfdcd62038,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Takeoff Ocean Academy Surf School,summer_camp,Portugal,"Cascais, Portugal",,,,https://wanderworks.life/camp/68a20017-4b23-43a5-83e5-cffed830d662,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Prime School International Summer Camp,summer_camp,Portugal,"Estoril, Portugal",,,,https://wanderworks.life/camp/7a60c21b-7539-44c9-911e-d28f5a338339,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Escola La Fora Summer Camp,summer_camp,Portugal,"Lisboa, Portugal",,,,https://wanderworks.life/camp/be234a86-e4e0-4e7d-bca6-d9da5125cd7d,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
VivaLab Future Makers Summer Camp,summer_camp,Portugal,"Porto, Portugal",,,,https://wanderworks.life/camp/38ec07e8-9623-4baa-8471-5af3e1e21d42,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Waves and Minds Surf and Emotional Intelligence Camp,summer_camp,Portugal,"Ericeira, Portugal",,,,https://wanderworks.life/camp/a42ce90a-3c16-4d8e-91d9-47c4b4ffd735,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Campo Aventura,summer_camp,Portugal,"Olho Marinho, Portugal",,,,https://wanderworks.life/camp/8b0807f4-55e1-4d49-913f-69969d8176b3,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Cascais Routes,summer_camp,Portugal,"Cascais, Portugal",,,,https://wanderworks.life/camp/c1f736be-b3c4-4367-8776-c72a7a200006,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Explorer International Kids Camps,summer_camp,Slovenia,"Velenje, Slovenia",,,,https://wanderworks.life/camp/e286ac08-4205-4ddc-be0f-0aef14812e65,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Flow Ramps Summer Camp,summer_camp,Slovenia,"Rečica ob Savinji, Slovenia",,,,https://wanderworks.life/camp/45413ea6-5071-4f2e-b343-4ca0093fc6c4,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Sotogrande International School Junior Summer Camp,summer_camp,Spain,"Cádiz, Spain",,,,https://wanderworks.life/camp/74351640-51ad-4576-a940-7c2c66f63072,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Learnlife Summer Camp,summer_camp,Spain,"Castelldefels, Spain",,,,https://wanderworks.life/camp/18f44c5a-2ea4-46d7-82c9-42c059554497,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Olé Immersion Summer Camps,summer_camp,Spain,"València, Spain",,,,https://wanderworks.life/camp/670c5fbf-7175-4ae1-8139-4e2ba4fc3125,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Planet Surf Camps,summer_camp,Spain,"San Vicente de la Barquera, Spain",,,,https://wanderworks.life/camp/a77db7e9-1624-4f36-906c-94c5d8b63666,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
My Spanish Camp,summer_camp,Spain,"Alfoz de Bricia, Spain",,,,https://wanderworks.life/camp/40412cc1-84dc-4aef-884c-bc79f4c8e21a,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Fishing Summer Camp,summer_camp,Spain,"Barruera, Spain",,,,https://wanderworks.life/camp/4f84b4bb-e186-427b-b11c-1d42cd46d016,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
"Institute of the Arts Barcelona, Musical Theatre Summer Camp",summer_camp,Spain,"Sitges, Spain",,,,https://wanderworks.life/camp/8c811844-8f54-41c3-9e9c-8e78481e2d33,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
4 Elements Galicia Bilingual Forest School Day Camp,summer_camp,Spain,"Muxía, Spain",,,,https://wanderworks.life/camp/c585d74c-b40b-40bd-9f38-bd4c18c878bd,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Brevik Summer Camp,summer_camp,Sweden,"Vikbolandet, Sweden",,,,https://wanderworks.life/camp/76ad8329-9a03-45a4-83dd-f9bf902c5d87,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
International Camp Suisse (Elementary Ages),summer_camp,Switzerland,"Val-d'Illiez, Switzerland",,,,https://wanderworks.life/camp/5cf55c7b-b2ad-4235-b7c6-15a96a631308,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Young Explorers Club,summer_camp,Switzerland,"Les Diablerets, Switzerland",,,,https://wanderworks.life/camp/8cf4680a-e641-4e49-90fd-a41f71c7b1cf,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Able Summer Camp,summer_camp,Thailand,"Mueang Chiang Mai, Thailand",,,,https://wanderworks.life/camp/5337c244-4b93-4330-852b-2d22cc8ad6fb,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Camp Crusoe,summer_camp,United Kingdom,"England, United Kingdom",,,,https://wanderworks.life/camp/b14db98f-b4fc-405c-b819-89a90a4b0d9c,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Mill on the Brue Outdoor Activity Centre Summer Camp,summer_camp,United Kingdom,"Bruton, United Kingdom",,,,https://wanderworks.life/camp/f65f0b77-f7ec-4293-8c57-810d80a7030a,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Wild Outdoors,summer_camp,United Kingdom,"Edinburgh, United Kingdom",,,,https://wanderworks.life/camp/23421ab7-686f-4e65-8abe-3c6e75da5341,,,browser:wanderworks.life,inbox,NEW,rendered from wanderworks.life
Portugal Pop Up Worldschool Hub,popup,Portugal,Lisbon / Cascais,weekly meetups,,,https://www.portugalpopup.com/,,,manual,inbox,NEW,spotted during Stage-1 lisbon-cascais resolution; weekly beach/park meetups for traveling families
